0	AK	AUTOMOTIVE SUPPLIER INDUSTRY
0	AK	HUMAN RESOURCE MANAGEMENT
0	AK	MANUFACTURING PERFORMANCE
0	AK	FACTOR SCORE REGRESSION
0	IK	COMPETITIVE ADVANTAGE
0	IK	AUTO INDUSTRY
0	IK	STRATEGY
0	IK	PRODUCTIVITY
0	IK	SYSTEMS
0	IK	IMPLEMENTATION
0	IK	TURNOVER
0	IK	FIRMS
1	AK	OPERATIONS STRATEGY
1	AK	FLEXIBILITY
1	AK	WORK FORCE MANAGEMENT
1	AK	EMPIRICAL RESEARCH
1	IK	STRATEGIC PERSPECTIVE
1	IK	TECHNOLOGIES
1	IK	CULTURE
1	IK	SYSTEM
1	IK	LINK
2	AK	PRODUCTION YIELDS
2	AK	COST OF QUALITY
2	AK	PRODUCT COST
2	AK	REWORK
2	AK	RAMP-UP
2	AK	LOCATION DECISIONS
2	AK	INTERNATIONAL OPERATIONS
2	IK	PRODUCTION SYSTEM
2	IK	SEMICONDUCTOR
2	IK	IMPROVEMENT
2	IK	MANAGEMENT
2	IK	NOISE
3	AK	SUPPLY CHAIN COORDINATION
3	AK	INVENTORY
3	AK	LEAD TIME
3	IK	MODEL
3	IK	VENDOR
4	AK	FLEXIBILITY
4	AK	MANUFACTURING
4	AK	SCALE DEVELOPMENT
4	IK	CONSTRAINED JOB SHOPS
4	IK	WORKER TRANSFER DELAYS
4	IK	PRODUCT INNOVATIVENESS
4	IK	PERFORMANCE EVALUATION
4	IK	FLEXIBLE AUTOMATION
4	IK	MACHINE FLEXIBILITY
4	IK	SYSTEMS
4	IK	STRATEGY
4	IK	IMPACT
4	IK	MODELS
5	AK	OPERATIONS MANAGEMENT RESEARCH
5	AK	SURVEY
6	IK	STRATEGIES
7	AK	MASS CUSTOMIZATION
7	AK	PROCESS DESIGN
7	AK	TECHNOLOGY
7	AK	MARKETING/OPERATIONS INTERFACE
8	AK	MANUFACTURING STRATEGY
8	AK	TAXONOMY
8	AK	COMPETITIVE PRIORITIES
8	AK	SANDCONE MODEL
8	IK	STRATEGY
8	IK	MODEL
8	IK	FIRM
9	AK	OPERATIONS STRATEGY
9	AK	SERVICE OPERATIONS
9	AK	EMPIRICAL RESEARCH
9	IK	DISCRIMINANT-ANALYSIS
9	IK	BUSINESS PERFORMANCE
9	IK	FUTURE-RESEARCH
9	IK	STRATEGY
9	IK	QUALITY
10	AK	SERVICE OPERATIONS
10	AK	OPERATIONS STRATEGY
10	IK	FUTURE-RESEARCH
10	IK	CUSTOMER
10	IK	MODEL
10	IK	ORGANIZATION
10	IK	FLEXIBILITY
10	IK	OPERATIONS
10	IK	QUALITY
10	IK	DESIGN
11	AK	PRODUCTION AND INVENTORY MANAGEMENT
11	AK	PROCESS INDUSTRIES
12	AK	OPERATIONS STRATEGY
12	AK	MAINTENANCE
12	AK	PRODUCTIVITY
12	IK	ADVANCED MANUFACTURING TECHNOLOGY
12	IK	TOTAL QUALITY MANAGEMENT
12	IK	MAINTENANCE
12	IK	ORGANIZATION
12	IK	MODELS
13	AK	TECHNOLOGY TRANSFER
13	AK	TECHNOLOGICAL INNOVATION
13	AK	CONFIGURATIONAL RESEARCH
13	AK	PROJECT MANAGEMENT
13	AK	INFORMATION PROCESSING THEORY
13	AK	INTERDEPENDENCE THEORY
13	IK	R-AND-D
13	IK	PRODUCT DEVELOPMENT
13	IK	STRATEGIC MANAGEMENT
13	IK	MANUFACTURING STRATEGY
13	IK	INTERFIRM COOPERATION
13	IK	EMBEDDED KNOWLEDGE
13	IK	INNOVATION
13	IK	FIRMS
13	IK	INFORMATION
13	IK	IMPACT
14	AK	WORK SYSTEM PRACTICES
14	AK	TIME-BASED MANUFACTURERS
14	AK	STANDARDIZATION
14	AK	INTEGRATION
14	IK	ORGANIZATIONAL-STRUCTURE
14	IK	TECHNOLOGY
14	IK	PARADIGM
14	IK	MODELS
14	IK	FIT
15	AK	ENTERPRISE LOGISTICS
15	AK	SUPPLY CHAIN STRUCTURE
15	AK	ORGANIZATIONAL PERFORMANCE
15	IK	DISTRIBUTION CHANNELS
15	IK	BUSINESS STRATEGY
15	IK	PERFORMANCE
15	IK	NETWORKS
15	IK	IMPACT
15	IK	FORMS
15	IK	COMMUNICATION
15	IK	ORGANIZATIONS
15	IK	COOPERATION
15	IK	ENVIRONMENT
16	AK	TQM
16	AK	DESIGN MANAGEMENT
16	AK	PROCESS MANAGEMENT
16	AK	PRODUCT QUALITY
16	AK	EMPIRICAL
16	AK	STRUCTURAL EQUATIONS MODELING
16	IK	CONSTRUCT-VALIDITY
16	IK	PERFORMANCE
16	IK	MODEL
16	IK	TQM
16	IK	PERSPECTIVE
16	IK	INVARIANCE
16	IK	FIRMS
17	AK	MANUFACTURING
17	AK	FLEXIBILITY
17	AK	MEASUREMENT
17	AK	EMPIRICAL RESEARCH
17	IK	STRATEGY
17	IK	SYSTEMS
17	IK	PERFORMANCE
18	AK	EMPIRICAL RESEARCH
18	AK	SERVICE OPERATIONS
18	IK	QUALITY
18	IK	EMPLOYEES
19	AK	PRODUCT DEVELOPMENT
19	AK	PROJECT MANAGEMENT
19	AK	TECHNOLOGY
19	AK	INNOVATION MANAGEMENT
19	AK	EMPIRICAL RESEARCH
19	IK	RESEARCH-AND-DEVELOPMENT
19	IK	DEVELOPMENT CYCLE TIME
19	IK	FUZZY FRONT-END
19	IK	ORGANIZATIONAL-STRUCTURE
19	IK	WORK CHARACTERISTICS
19	IK	TEAM AUTONOMY
19	IK	SPECIAL ISSUE
19	IK	COMMUNICATION
19	IK	STRATEGY
19	IK	DESIGN
20	AK	OPERATIONS STRATEGY
20	AK	COMPUTER SIMULATIONS
20	AK	FACILITY LAYOUT
20	AK	SCHEDULING
20	IK	DATA ENVELOPMENT ANALYSIS
20	IK	EFFICIENT FRONTIER
20	IK	BENCHMARKING
20	IK	MANAGEMENT
20	IK	SYSTEM
21	AK	WORKPLACE SAFETY
21	AK	INDUSTRIAL ACCIDENTS
21	AK	UNSAFE WORK PRACTICES
21	AK	SAFETY-EFFICACY
21	AK	SAFETY HAZARDS
21	AK	SAFETY CLIMATE
21	AK	ACCIDENT DIAGNOSIS
21	IK	POOR PERFORMANCE
21	IK	WORKPLACE
21	IK	MANAGEMENT
21	IK	WORK
21	IK	ORGANIZATIONS
21	IK	OBSTACLES
21	IK	HEALTH
22	AK	ENVIRONMENTAL ISSUES
22	AK	PRODUCTION PLANNING
22	IK	CONTROL STRATEGIES
22	IK	EOQ REPAIR
22	IK	DISPOSAL
22	IK	ENVIRONMENT
22	IK	MODEL
22	IK	OPERATIONS
22	IK	ECONOMICS
22	IK	LOGISTICS
22	IK	POLICIES
22	IK	ISSUES
23	AK	MANUFACTURING FLEXIBILITY
23	AK	EMPIRICAL RESEARCH
23	AK	MEASUREMENT AND METHODOLOGY
23	IK	FLEXIBLE AUTOMATION
23	IK	CONSTRUCT-VALIDITY
23	IK	PERFORMANCE
23	IK	STRATEGY
23	IK	DESIGN
23	IK	MATRIX
23	IK	FIRM
24	AK	ADVANCED MANUFACTURING TECHNOLOGY
24	AK	PERFORMANCE
24	AK	STRATEGY
24	IK	ORGANIZATIONAL-STRUCTURE
24	IK	FLEXIBLE AUTOMATION
24	IK	UNCERTAINTY
24	IK	MARKETS
24	IK	CONTEXT
24	IK	DESIGN
24	IK	FIT
25	AK	PURCHASING
25	AK	TECHNOLOGY MANAGEMENT
25	IK	BUYER-SELLER RELATIONSHIPS
25	IK	STRATEGIC ALLIANCES
25	IK	CHAIN MANAGEMENT
25	IK	TRUST
25	IK	GOVERNANCE
25	IK	REQUIREMENTS
25	IK	DETERMINANTS
25	IK	COOPERATION
25	IK	COMPETENCE
25	IK	BEHAVIOR
26	AK	SERVICE OPERATIONS
26	AK	INVENTORY CONTROL
26	IK	LOST SALES
26	IK	MODEL
26	IK	SPACE
26	IK	MANAGEMENT
27	AK	SUPPLY CHAIN MANAGEMENT
27	AK	COMPETITIVE PRIORITIES
27	AK	SUPPLIER PERFORMANCE
27	AK	COVARIANCE STRUCTURE MODELING
27	IK	TOTAL QUALITY MANAGEMENT
28	AK	DATA ENVELOPMENT ANALYSIS
28	AK	PRODUCTIVITY
28	AK	LOGISTICS
28	AK	SERVICE OPERATIONS
28	IK	DATA ENVELOPMENT ANALYSIS
28	IK	AIRLINE INDUSTRY
28	IK	PRODUCTIVITY
28	IK	PERFORMANCE
28	IK	HUBS
29	AK	THEORY OF PERFORMANCE FRONTIERS
29	AK	CAPACITY MANAGEMENT
29	AK	RESOURCE-BASED VIEW OF ORGANIZATIONS
29	AK	OPERATIONS STRATEGY
29	IK	SUSTAINED COMPETITIVE ADVANTAGE
29	IK	RESOURCE-BASED VIEW
