PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	PU	PI	PA	SN	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT
J	Jackson, JR				Jackson, James R.			James R. Jackson	PRODUCTION AND OPERATIONS MANAGEMENT			English	Biographical-Item									[Jackson, James R.] Univ Calif Los Angeles, Sch Management, Los Angeles, CA 90024 USA								0	0	0	PRODUCTION OPERATIONS MANAGEMENT SOC	BALTIMORE	UNIV BALTIMORE, 1420 CHARLES ST, BALTIMORE, MD 21201 USA	1059-1478		PROD OPER MANAG	Prod. Oper. Manag.	NOV-DEC	2008	17	6					I	II		10.3401/poms.1080.0060		2	Engineering, Manufacturing; Operations Research & Management Science	Engineering; Operations Research & Management Science	374HW	WOS:000261035400001	
J	Chen, YW; Vakharia, AJ; Alptekinoglu, A				Chen, Yuwen; Vakharia, Asoo J.; Alptekinoglu, Aydin			Product Portfolio Strategies: The Case of Multifunction Products	PRODUCTION AND OPERATIONS MANAGEMENT			English	Editorial Material																	0	0	0	PRODUCTION OPERATIONS MANAGEMENT SOC	BALTIMORE	UNIV BALTIMORE, 1420 CHARLES ST, BALTIMORE, MD 21201 USA	1059-1478		PROD OPER MANAG	Prod. Oper. Manag.	NOV-DEC	2008	17	6					VII	VII				1	Engineering, Manufacturing; Operations Research & Management Science	Engineering; Operations Research & Management Science	374HW	WOS:000261035400004	
J	Gaukler, GM; Ozer, O; Hausman, WH				Gaukler, Gary M.; Oezer, Oezalp; Hausman, Warren H.			Order Progress Information: Improved Dynamic Emergency Ordering Policies	PRODUCTION AND OPERATIONS MANAGEMENT			English	Editorial Material																	0	2	2	PRODUCTION OPERATIONS MANAGEMENT SOC	BALTIMORE	UNIV BALTIMORE, 1420 CHARLES ST, BALTIMORE, MD 21201 USA	1059-1478		PROD OPER MANAG	Prod. Oper. Manag.	NOV-DEC	2008	17	6					VII	VIII				2	Engineering, Manufacturing; Operations Research & Management Science	Engineering; Operations Research & Management Science	374HW	WOS:000261035400005	
J	Hayes, RH				Hayes, Robert H.			Operations Management's Next Source of Galvanizing Energy?	PRODUCTION AND OPERATIONS MANAGEMENT			English	Editorial Material																	0	1	1	PRODUCTION OPERATIONS MANAGEMENT SOC	BALTIMORE	UNIV BALTIMORE, 1420 CHARLES ST, BALTIMORE, MD 21201 USA	1059-1478		PROD OPER MANAG	Prod. Oper. Manag.	NOV-DEC	2008	17	6					VII	VII				1	Engineering, Manufacturing; Operations Research & Management Science	Engineering; Operations Research & Management Science	374HW	WOS:000261035400002	
J	Lee, SY; Klassen, RD				Lee, Su-Yol; Klassen, Robert D.			Drivers and Enablers That Foster Environmental Management Capabilities in Small- and Medium-Sized Suppliers in Supply Chains	PRODUCTION AND OPERATIONS MANAGEMENT			English	Editorial Material																	0	1	1	PRODUCTION OPERATIONS MANAGEMENT SOC	BALTIMORE	UNIV BALTIMORE, 1420 CHARLES ST, BALTIMORE, MD 21201 USA	1059-1478		PROD OPER MANAG	Prod. Oper. Manag.	NOV-DEC	2008	17	6					VII	VII				1	Engineering, Manufacturing; Operations Research & Management Science	Engineering; Operations Research & Management Science	374HW	WOS:000261035400003	
J	Akcay, Y; Tan, B				Akcay, Yalcin; Tan, Baris			On the Benefits of Assortment-Based Cooperation Among Independent Producers	PRODUCTION AND OPERATIONS MANAGEMENT			English	Editorial Material																	0	0	0	PRODUCTION OPERATIONS MANAGEMENT SOC	BALTIMORE	UNIV BALTIMORE, 1420 CHARLES ST, BALTIMORE, MD 21201 USA	1059-1478		PROD OPER MANAG	Prod. Oper. Manag.	NOV-DEC	2008	17	6					VIII	VIII				1	Engineering, Manufacturing; Operations Research & Management Science	Engineering; Operations Research & Management Science	374HW	WOS:000261035400007	
J	Choi, HCP; Blocher, JD; Gavirneni, S				Choi, Hyun-Cheol Paul; Blocher, James D.; Gavirneni, Srinagesh			Value of Sharing Production Yield Information in a Serial Supply Chain	PRODUCTION AND OPERATIONS MANAGEMENT			English	Editorial Material																	0	0	0	PRODUCTION OPERATIONS MANAGEMENT SOC	BALTIMORE	UNIV BALTIMORE, 1420 CHARLES ST, BALTIMORE, MD 21201 USA	1059-1478		PROD OPER MANAG	Prod. Oper. Manag.	NOV-DEC	2008	17	6					VIII	VIII				1	Engineering, Manufacturing; Operations Research & Management Science	Engineering; Operations Research & Management Science	374HW	WOS:000261035400006	
J	Mukhopadhyay, SK; Zhu, XW; Yue, XH				Mukhopadhyay, Samar K.; Zhu, Xiaowei; Yue, Xiaohang			Optimal Contract Design for Mixed Channels Under Information Asymmetry	PRODUCTION AND OPERATIONS MANAGEMENT			English	Editorial Material																	0	1	1	PRODUCTION OPERATIONS MANAGEMENT SOC	BALTIMORE	UNIV BALTIMORE, 1420 CHARLES ST, BALTIMORE, MD 21201 USA	1059-1478		PROD OPER MANAG	Prod. Oper. Manag.	NOV-DEC	2008	17	6					VIII	VIII				1	Engineering, Manufacturing; Operations Research & Management Science	Engineering; Operations Research & Management Science	374HW	WOS:000261035400008	
J	Hayes, RH				Hayes, Robert H.			POM FORUM Operations Management's Next Source of Galvanizing Energy?	PRODUCTION AND OPERATIONS MANAGEMENT			English	Article; Proceedings Paper	17th Annual Conference of the Production-and-Operations-Management-Society	2006	Boston, MA	Product Operat Management Soc		POM; rejuvenation; reunification; networks; research		I am concerned that the field of production and operations management is losing direction and cohesion, as well as the battle for the best new faculty, student enrollments, and research funding. This problem is not due to a lack of interesting initiatives but because our several active subfields are pulling LIS in different directions and causing our common ground to shrink. This is at a time when firms around the globe are facing perplexing operating problems that are apparently not resolvable through existing theories and techniques. Other academic fields have experienced similar strains at certain points, and they tend to get to that point following a progression like those that production and operations management has witnessed three times in the past 50 years. After briefly describing these past histories, I propose that we are near the end of one cycle and need a new jolt of energy to begin another. The problems of coordinating the complex collaborations among networked organizations (the Coordination of Operations across Multiple Organizations) are becoming increasingly important in today's economy I suggest that intensive multiteam studies of such networks could provide new insights into these pressing problems, stimulate creativity, and help reunify our field.	Harvard Univ, Sch Business, Boston, MA 02163 USA	Hayes, RH (reprint author), Harvard Univ, Sch Business, Boston, MA 02163 USA.	rhayes@hbs.edu						0	7	7	PRODUCTION OPERATIONS MANAGEMENT SOC	BALTIMORE	UNIV BALTIMORE, 1420 CHARLES ST, BALTIMORE, MD 21201 USA	1059-1478		PROD OPER MANAG	Prod. Oper. Manag.	NOV-DEC	2008	17	6					567	572		10.3401/poms.1080.0062		6	Engineering, Manufacturing; Operations Research & Management Science	Engineering; Operations Research & Management Science	374HW	WOS:000261035400009	
J	Lee, SY; Klassen, RD				Lee, Su-Yol; Klassen, Robert D.			Drivers and Enablers That Foster Environmental Management Capabilities in Small- and Medium-Sized Suppliers in Supply Chains	PRODUCTION AND OPERATIONS MANAGEMENT			English	Article						green supply chain management; environmental issues; SME suppliers; newly industrialized and developing countries	GREEN; PERFORMANCE; FIRMS	The limited capabilities and resources available within many small- and medium-sized enterprises frequently hamper an effective response to environmental pressures, which in turn hurts large buying firms (i.e., customers). Using a case study method with multiple suppliers of two large buying firms, we mapped factors that initiated and improved environmental capabilities in small- and medium-sized enterprises over time. Through several specific mechanisms, buyers' green supply chain management initiated and then enabled the improvement of suppliers' environmental capabilities. Independent of buyers, internal championing of environmental concerns also provided an impetus for small- and. medium-sized enterprise suppliers to acquire resources outside the supply chain. Thus, synergistic linkages emerged in supportive buyer-supplier relationships, resource acquisition, and capability development. When these findings are combined with earlier research on larger suppliers, an integrative framework emerges that provides direction for suppliers, buyers, and public agencies seeking to improve environmental performance.	[Lee, Su-Yol] Chonnam Natl Univ, Coll Business Adm, nBiz Convergence Team, Kwangju 500757, South Korea; [Klassen, Robert D.] Univ Western Ontario, Richard Ivey Sch Business, London, ON N6A 3K7, Canada	Lee, SY (reprint author), Chonnam Natl Univ, Coll Business Adm, nBiz Convergence Team, Kwangju 500757, South Korea.	leesuyol@chonnam.ac.kr; rklassen@ivey.uwo.ca			Korea Research Foundation, Korean Government [KRF-2007-0815]	This work was supported by the Korea Research Foundation Grant funded by the Korean Government (MOEHRID, Basic Research Promotion Fund) (KRF-2007-0815). The second author would also like to thank the Social Sciences and Humanities Research Council for support of this research prograrn.	Andersson LM, 2000, ACAD MANAGE J, V43, P548, DOI 10.2307/1556355; Azzone Giovanni, 1997, ENV MANAGEMENT HLTH, V8, P4, DOI 10.1108/09566169710159159; Bakker F., 2002, BUSINESS STRATEGY EN, V11, P63; Bansal P, 2005, STRATEGIC MANAGE J, V26, P197, DOI 10.1002/smj.441; Bowen FE, 2001, PROD OPER MANAG, V10, P174; Boyer K, 2008, J OPER MANAG, V26, P337, DOI 10.1016/j.jom.2008.03.001; Bozarth C, 2007, PROD OPER MANAG, V16, P154; Carlton J., 2006, WALL STREET J, pB5; CHOI J, 2003, REPORT KOREAN AUTOMO; Chrisman JJ, 2004, J SMALL BUS MANAGE, V42, P229, DOI 10.1111/j.1540-627X.2004.00109.x; Cousins P. D., 1999, EUROPEAN J PURCHASIN, V5, P143, DOI 10.1016/S0969-7012(99)00019-2; Freel MS, 2000, SMALL BUS ECON, V15, P27, DOI 10.1023/A:1012087912632; Friedman AL, 2002, BUSINESS STRATEGY EN, V11, P324, DOI DOI 10.1002/BSE.335; Geffen CA, 2000, INT J OPER PROD MAN, V20, P166, DOI 10.1108/01443570010304242; Grant RM, 1995, ACAD MANAGEMENT BEST, P17; Green K, 2000, ORG ENV, V13, P206, DOI 10.1177/1086026600132003; Guide VDR, 2006, PROD OPER MANAG, V15, P345; GUNTHER M, 2006, FORTUNE, V154, P36; Hall J., 2000, J CLEAN PROD, V8, P455, DOI 10.1016/S0959-6526(00)00013-5; Hampson J., 1996, BRIT J MANAGE, V7, pS45, DOI 10.1111/j.1467-8551.1996.tb00147.x; Handfield R, 2005, BUSINESS STRATEGY EN, V14, P1, DOI 10.1002/bse.422; Hitchens D., 2003, SMALL MEDIUM SIZED C; HOLT DS, 2001, GREENER MANAGEMENT I, P29; Howes R., 1997, CLEAN COMPETITIVE MO; Imai M, 1986, KAIZEN KEY JAPANESE; Karaer O, 2007, PROD OPER MANAG, V16, P625; Krause DR, 2000, DECISION SCI, V31, P33, DOI 10.1111/j.1540-5915.2000.tb00923.x; LEE B, 2003, KOREAN J ENV MANAGEM, V1, P71; Lee SY, 2008, SUPPLY CHAIN MANAG, V13, P185, DOI 10.1108/13598540810871235; Linton JD, 2007, J OPER MANAG, V25, P1075, DOI 10.1016/j.jom.2007.01.012; Modi SB, 2007, J OPER MANAG, V25, P42, DOI 10.1016/j.jom.2006.02.001; New S. J., 2004, UNDERSTANDING SUPPLY, P253; Prosler M., 2000, DO ECODESIGN; Ramus CA, 2000, ACAD MANAGE J, V43, P605, DOI 10.2307/1556357; Rhee S., 2003, BUSINESS STRATEGY EN, V12, P175, DOI 10.1002/bse.356; Roome N., 1992, BUSINESS STRATEGY EN, V1, P11, DOI DOI 10.1002/BSE.3280010104; SADDLERSMITH E, 2003, J SMALL BUS MANAGE, V41, P47; Simpson DE, 2005, SUPPLY CHAIN MANAG, V10, P60, DOI [10.1108/13598540510578388, 10.1108/13598240510578388]; Stafford E. R., 2000, BUSINESS STRATEGY EN, V9, P122, DOI 10.1002/(SICI)1099-0836(200003/04)9:2<122::AID-BSE232>3.0.CO;2-C; Tsikriktsis N, 2004, PROD OPER MANAG, V13, P216; Vachon S, 2006, INT J OPER PROD MAN, V26, P795, DOI 10.1108/01443570610672248; ZBRACKI MJ, 1998, ADM SCI Q, V43, P602; Zhang HC, 1997, J MANUF SYST, V16, P352, DOI 10.1016/S0278-6125(97)88465-8	43	40	42	PRODUCTION OPERATIONS MANAGEMENT SOC	BALTIMORE	UNIV BALTIMORE, 1420 CHARLES ST, BALTIMORE, MD 21201 USA	1059-1478		PROD OPER MANAG	Prod. Oper. Manag.	NOV-DEC	2008	17	6					573	586		10.3401/poms.1080.0063		14	Engineering, Manufacturing; Operations Research & Management Science	Engineering; Operations Research & Management Science	374HW	WOS:000261035400010	
