CommunityID	Keywords	TF	DF	TF-IDF	Sigma
0	FIELD STUDY	0.1304	0.1304	0.2657	0.0000
0	SERVICE QUALITY	0.0435	0.0435	0.1363	0.0000
0	DATA ANALYSIS	0.0870	0.0870	0.2124	0.0000
0	TRANSPORTATION	0.0435	0.0435	0.1363	0.0000
0	PRODUCT DEVELOPMENT	0.0435	0.0435	0.1363	0.0000
0	FIRM PERFORMANCE	0.0435	0.0435	0.1363	0.0000
0	MAJOR CUSTOMER	0.0870	0.0870	0.2124	0.0000
0	SALES CONCENTRATION	0.0870	0.0870	0.2124	0.0000
0	QUALITATIVE	0.0870	0.0870	0.2124	0.0000
0	QUEUEING	0.0435	0.0435	0.1363	0.0000
0	MULTI-STAKEHOLDER CONSTRUCTS	0.0435	0.0435	0.1363	0.0000
0	SERVICE COMPETITION	0.0435	0.0435	0.1363	0.0000
0	PORTFOLIO MANAGEMENT	0.0435	0.0435	0.1363	0.0000
0	SUPPLY CHAIN MANAGEMENT	0.1304	0.1304	0.2657	0.0000
0	EMPIRICAL RESEARCH	0.0870	0.0870	0.2124	0.0000
0	US MANUFACTURING INDUSTRIES	0.0435	0.0435	0.1363	0.0000
0	RADIO FREQUENCY IDENTIFICATION (RFID)	0.0435	0.0435	0.1363	0.0000
0	LONG-TERM STOCK RETURNS	0.0870	0.0870	0.2124	0.0000
0	CHOICE MODELS	0.0435	0.0435	0.1363	0.0000
0	HUMANITARIAN	0.0435	0.0435	0.1363	0.0000
0	HYPOTHESIS TESTING	0.0870	0.0870	0.2124	0.0000
0	THEORY	0.0870	0.0870	0.2124	0.0000
0	FINANCIAL ANALYSIS	0.0870	0.0870	0.2124	0.0000
0	OPERATIONS MANAGEMENT/FINANCE INTERFACE	0.0870	0.0870	0.2124	0.0000
0	SOCIAL CAPITAL	0.0435	0.0435	0.1363	0.0000
0	FIELD EXPERIMENT	0.0435	0.0435	0.1363	0.0000
0	SUPPLY-CHAIN MANAGEMENT	0.0435	0.0435	0.1363	0.0000
0	ORGANIZATIONAL LEARNING	0.0435	0.0435	0.1363	0.0000
0	EMPIRICAL ANALYSIS	0.0870	0.0870	0.2124	0.0000
0	TESTING	0.0870	0.0870	0.2124	0.0000
0	COMPETITION	0.0435	0.0435	0.1363	0.0000
0	RESEARCH	0.1304	0.1304	0.2657	0.0000
0	TRIANGULATION	0.0435	0.0435	0.1363	0.0000
0	TRADEOFFS	0.0435	0.0435	0.1363	0.0000
0	MANUFACTURING STRATEGY	0.0435	0.0435	0.1363	0.0000
0	PARADIGM SHIFTS	0.0435	0.0435	0.1363	0.0000
0	SUPPLY CHAIN INTEGRATION	0.0870	0.0870	0.2124	0.0000
0	DESTINATIONS	0.0435	0.0435	0.1363	0.0000
0	INDUCTIVE	0.0870	0.0870	0.2124	0.0000
0	PROJECT MANAGEMENT	0.0435	0.0435	0.1363	0.0000
0	ENVIRONMENTAL MANAGEMENT	0.0435	0.0435	0.1363	0.0000
0	DEDUCTIVE	0.0870	0.0870	0.2124	0.0000
0	REAL OPTIONS	0.0870	0.0870	0.2124	0.0000
0	META-ANALYSIS	0.0435	0.0435	0.1363	0.0000
0	METHODOLOGY	0.0870	0.0870	0.2124	0.0000
0	OPERATIONS MARKETING INTERFACE	0.0435	0.0435	0.1363	0.0000
0	BUYER-SUPPLIER RELATIONSHIPS	0.0435	0.0435	0.1363	0.0000
0	STRUCTURAL ESTIMATION	0.0435	0.0435	0.1363	0.0000
0	SERVICE OPERATIONS STRATEGY	0.0435	0.0435	0.1363	0.0000
0	SERVICE SCRIPT	0.0435	0.0435	0.1363	0.0000
0	SINGLE RATER BIAS	0.0435	0.0435	0.1363	0.0000
0	OPERATIONS MANAGEMENT	0.0435	0.0435	0.1363	0.0000
0	EMPIRICAL	0.0870	0.0870	0.2124	0.0000
0	INFORMATION SYSTEMS VALUE	0.0435	0.0435	0.1363	0.0000
0	INVENTORY RECORD INACCURACY (IRI)	0.0435	0.0435	0.1363	0.0000
0	OPERATIONS STRATEGY	0.0435	0.0435	0.1363	0.0000
0	INVENTORY VISIBILITY	0.0435	0.0435	0.1363	0.0000
0	TRANSACTION-COST ECONOMICS	0.0435	0.0435	0.1363	0.0000
0	INVENTORY MANAGEMENT	0.0870	0.0870	0.2124	0.0000
0	CROSS-PREDICTION	0.0435	0.0435	0.1363	0.0000
0	EMOTIONAL RESPONSE	0.0435	0.0435	0.1363	0.0000
0	FIELD RESEARCH	0.0870	0.0870	0.2124	0.0000
0	CUMULATIVE CAPABILITIES	0.0435	0.0435	0.1363	0.0000
0	SERVICE ENCOUNTER	0.0435	0.0435	0.1363	0.0000
0	CASE-BASED	0.0435	0.0435	0.1363	0.0000
0	PROCESS MODEL	0.0435	0.0435	0.1363	0.0000
0	SUPPLY CHAIN	0.0435	0.0435	0.1363	0.0000
0	RESEARCH METHODS	0.0870	0.0870	0.2124	0.0000
0	HIGH TECH FIRM	0.0435	0.0435	0.1363	0.0000
